REG;DEP;DEPCOM;DCIRIS;AN;TYPEQU;CANT;INT;RPIC;CL_PELEM;CL_PGE;EP;SECT;NB_EQUIP
84;01;01001;01001;2018;C104;1;X;0;1;X;0;PU;1
84;01;01004;01004_0102;2018;C101;1;X;0;X;X;0;PU;1
84;01;01004;01004_0201;2018;C101;1;X;0;X;X;0;PU;2
84;01;01004;01004_0102;2018;C104;0;X;0;0;X;0;PU;1
84;01;01004;01004_0102;2018;C104;1;X;0;1;X;0;PU;1
84;01;01004;01004_0201;2018;C104;1;X;0;0;X;0;PU;1
84;01;01004;01004_0201;2018;C104;1;X;0;1;X;0;PR;1
84;01;01004;01004_0201;2018;C201;1;0;X;X;X;0;PR;1
84;01;01004;01004_0201;2018;C201;1;0;X;X;X;0;PU;1
84;01;01004;01004_0101;2018;C301;1;1;X;X;0;0;PU;1
84;01;01004;01004_0202;2018;C302;1;1;X;X;0;0;PU;1
84;01;01004;01004_0102;2018;C503;X;X;X;X;X;X;PR;1
84;01;01004;01004_0101;2018;C601;X;X;X;X;X;X;PR;1
84;01;01005;01005;2018;C104;1;X;0;1;X;0;PU;1
84;01;01007;01007;2018;C101;1;X;0;X;X;0;PU;1
84;01;01007;01007;2018;C104;1;X;0;0;X;0;PU;1
84;01;01008;01008;2018;C104;0;X;0;1;X;0;PU;1
84;01;01010;01010;2018;C104;0;X;0;1;X;0;PU;1
84;01;01011;01011;2018;C105;0;X;X;1;X;0;PU;1
84;01;01012;01012;2018;C105;0;X;X;1;X;0;PU;1
84;01;01013;01013;2018;C104;0;X;0;0;X;0;PU;1
84;01;01014;01014;2018;C101;0;X;0;X;X;1;PU;2
84;01;01014;01014;2018;C104;0;X;0;0;X;1;PU;2
84;01;01014;01014;2018;C201;1;0;X;X;X;1;PU;1
84;01;01015;01015;2018;C104;0;X;0;0;X;0;PU;1
84;01;01017;01017;2018;C104;0;X;0;1;X;1;PU;1
84;01;01021;01021;2018;C104;0;X;0;1;X;0;PR;1
84;01;01021;01021;2018;C104;1;X;0;1;X;0;PU;1
84;01;01022;01022;2018;C101;0;X;0;X;X;0;PU;1
84;01;01022;01022;2018;C104;0;X;0;0;X;0;PU;1
84;01;01022;01022;2018;C201;1;0;X;X;X;0;PU;1
84;01;01024;01024;2018;C104;1;X;0;1;X;0;PR;1
84;01;01024;01024;2018;C104;1;X;0;1;X;0;PU;1
84;01;01025;01025;2018;C101;1;X;0;X;X;0;PU;1
84;01;01025;01025;2018;C104;1;X;0;0;X;0;PU;1
84;01;01025;01025;2018;C104;1;X;0;1;X;0;PU;1
84;01;01025;01025;2018;C201;1;0;X;X;X;0;PU;1
84;01;01026;01026;2018;C105;1;X;X;1;X;0;PU;1
84;01;01026;01026;2018;C303;X;1;X;X;0;X;PR;1
84;01;01027;01027;2018;C101;1;X;0;X;X;0;PU;1
84;01;01027;01027;2018;C104;1;X;0;0;X;0;PU;1
84;01;01027;01027;2018;C601;X;X;X;X;X;X;PR;1
84;01;01028;01028;2018;C104;1;X;0;1;X;0;PU;1
84;01;01029;01029;2018;C105;1;X;X;0;X;0;PU;1
84;01;01030;01030;2018;C104;1;X;0;1;X;0;PU;1
84;01;01031;01031;2018;C101;0;X;0;X;X;0;PU;2
84;01;01031;01031;2018;C104;0;X;0;0;X;0;PU;2
84;01;01031;01031;2018;C301;1;1;X;X;0;0;PU;1
84;01;01031;01031;2018;C305;;;X;X;X;X;PU;1
84;01;01031;01031;2018;C503;X;X;X;X;X;X;PU;1
84;01;01032;01032;2018;C101;0;X;0;X;X;0;PU;1
84;01;01032;01032;2018;C104;0;X;0;0;X;0;PU;1
84;01;01033;01033_0101;2018;C104;1;X;0;1;X;0;PU;1
84;01;01033;01033_0102;2018;C104;1;X;0;1;X;0;PU;1
84;01;01033;01033_0202;2018;C104;1;X;0;1;X;0;PU;3
84;01;01033;01033_0301;2018;C104;1;X;0;1;X;0;PU;1
84;01;01033;01033_0102;2018;C201;1;0;X;X;X;0;PU;1
84;01;01033;01033_0202;2018;C201;1;0;X;X;X;0;PU;1
84;01;01033;01033_0202;2018;C301;1;1;X;X;0;0;PU;1
84;01;01033;01033_0202;2018;C305;1;1;X;X;X;X;PU;1
84;01;01034;01034_0102;2018;C101;1;X;0;X;X;0;PU;1
84;01;01034;01034_0103;2018;C101;1;X;0;X;X;0;PU;1
84;01;01034;01034_0102;2018;C104;1;X;0;0;X;0;PR;1
84;01;01034;01034_0102;2018;C104;1;X;0;0;X;0;PU;2
84;01;01034;01034_0102;2018;C104;1;X;0;1;X;0;PR;1
84;01;01034;01034_0101;2018;C201;1;1;X;X;X;0;PR;1
84;01;01034;01034_0102;2018;C201;1;0;X;X;X;0;PU;1
84;01;01034;01034_0101;2018;C301;1;1;X;X;0;0;PR;1
84;01;01034;01034_0102;2018;C301;1;1;X;X;0;0;PU;1
84;01;01034;01034_0101;2018;C302;1;1;X;X;0;0;PR;1
84;01;01034;01034_0102;2018;C302;1;1;X;X;0;0;PU;1
84;01;01034;01034_0102;2018;C603;X;X;X;X;X;X;PU;1
84;01;01037;01037;2018;C104;0;X;0;0;X;0;PU;1
84;01;01038;01038;2018;C104;1;X;0;1;X;0;PU;1
84;01;01039;01039;2018;C104;0;X;0;0;X;0;PU;1
84;01;01040;01040;2018;C105;1;X;X;0;X;0;PU;1
84;01;01041;01041;2018;C104;0;X;0;1;X;0;PU;1
84;01;01043;01043;2018;C101;1;X;0;X;X;0;PU;1
84;01;01043;01043;2018;C104;1;X;0;0;X;0;PU;1
84;01;01043;01043;2018;C201;1;0;X;X;X;0;PU;1
84;01;01044;01044;2018;C104;0;X;0;1;X;0;PU;1
84;01;01046;01046;2018;C105;1;X;X;0;X;0;PU;1
84;01;01047;01047;2018;C104;0;X;0;1;X;0;PU;1
84;01;01049;01049;2018;C101;1;X;0;X;X;0;PU;1
84;01;01049;01049;2018;C104;1;X;0;0;X;0;PU;1
84;01;01049;01049;2018;C301;1;0;X;X;0;0;PU;1
84;01;01050;01050;2018;C105;1;X;X;0;X;0;PU;1
84;01;01053;01053_0103;2018;C101;1;X;0;X;X;0;PU;1
84;01;01053;01053_0502;2018;C101;1;X;0;X;X;0;PU;2
84;01;01053;01053_0101;2018;C104;1;X;0;0;X;0;PU;1
84;01;01053;01053_0101;2018;C104;1;X;0;1;X;0;PR;1
84;01;01053;01053_0102;2018;C104;1;X;0;1;X;0;PU;1
84;01;01053;01053_0103;2018;C104;1;X;0;1;X;0;PR;1
84;01;01053;01053_0201;2018;C104;1;X;0;1;X;0;PU;1
84;01;01053;01053_0202;2018;C104;1;X;0;0;X;0;PU;1
84;01;01053;01053_0203;2018;C104;1;X;0;1;X;0;PR;1
84;01;01053;01053_0301;2018;C104;1;X;0;1;X;0;PR;1
