"";"ID_AU2010";"TYPEQU";"NB_2013";"NB_2018";"LIB_MOD";"population";"LIBAU2010";"TAU2016";"NB_COM";"densite_2013";"densite_2018";"NB_2013_2";"TCAM";"TAU2016_group";"TAU2016_Insee";"reordonner"
"1";"061";"A207";1;0;"Relais poste commerçant";129003;"Maubeuge (partie fran�aise)";"07";55;0,0775175771106098;0;1;-100;"moyenne";"7: 100.000-200.000";"b"
"2";"085";"A207";1;0;"Relais poste commerçant";102382;"Brive-la-Gaillarde";"07";44;0,097673419155711;0;1;-100;"moyenne";"7: 100.000-200.000";"b"
"3";"092";"A207";1;0;"Relais poste commerçant";99586;"Carcassonne";"06";71;0,100415721085293;0;1;-100;"moyenne";"6: 50.000-100.000";"b"
"4";"094";"A208";1;0;"Agence postale communale";96229;"Fr�jus";"06";3;0,103918777083831;0;1;-100;"moyenne";"6: 50.000-100.000";"b"
"5";"115";"A207";1;0;"Relais poste commerçant";74614;"Longwy (partie fran�aise)";"06";56;0,134023105583403;0;1;-100;"moyenne";"6: 50.000-100.000";"b"
"6";"174";"A207";1;0;"Relais poste commerçant";36125;"Saint-Avold (partie fran�aise)";"05";9;0,27681660899654;0;1;-100;"moyenne";"5: 35.000-50.000";"b"
"7";"191";"A207";1;0;"Relais poste commerçant";31337;"Tulle";"04";23;0,319111593324185;0;1;-100;"petite";"4: 25.000-35.000";"a"
"8";"192";"A208";1;0;"Agence postale communale";31794;"Thann - Cernay";"04";9;0,314524753098069;0;1;-100;"petite";"4: 25.000-35.000";"a"
"9";"252";"A207";1;0;"Relais poste commerçant";20726;"Privas";"03";14;0,482485766669883;0;1;-100;"petite";"3: 20.000-25.000";"a"
"10";"260";"A207";1;0;"Relais poste commerçant";19499;"Bressuire";"02";1;0,512846812657059;0;1;-100;"petite";"2: 15.000-20.000";"a"
"11";"281";"A207";1;0;"Relais poste commerçant";17632;"Honfleur";"02";11;0,567150635208711;0;1;-100;"petite";"2: 15.000-20.000";"a"
"12";"306";"A207";1;0;"Relais poste commerçant";14362;"Rethel";"01";16;0,696281854894861;0;1;-100;"petite";"1: < 15.000";"a"
"13";"333";"A207";1;0;"Relais poste commerçant";12952;"Orthez";"01";5;0,772081531809759;0;1;-100;"petite";"1: < 15.000";"a"
"14";"425";"A208";1;0;"Agence postale communale";8110;"Longu�-Jumelles";"01";2;1,23304562268804;0;1;-100;"petite";"1: < 15.000";"a"
"15";"447";"A208";1;0;"Agence postale communale";7539;"Crozon";"01";1;1,32643586682584;0;1;-100;"petite";"1: < 15.000";"a"
"16";"474";"A207";1;0;"Relais poste commerçant";6895;"Saint-Ch�ly-d'Apcher";"01";8;1,45032632342277;0;1;-100;"petite";"1: < 15.000";"a"
"17";"504";"A207";1;0;"Relais poste commerçant";5884;"Sainte-Menehould";"01";8;1,69952413324269;0;1;-100;"petite";"1: < 15.000";"a"
"18";"530";"A207";1;0;"Relais poste commerçant";5562;"Tournus";"01";1;1,79791441927364;0;1;-100;"petite";"1: < 15.000";"a"
"19";"569";"A207";1;0;"Relais poste commerçant";5042;"La Flotte";"01";2;1,98333994446648;0;1;-100;"petite";"1: < 15.000";"a"
"20";"707";"A206";1;0;"Bureau de poste";5545;"Chanverrie";"01";1;1,8034265103697;0;1;-100;"petite";"1: < 15.000";"a"
