"INSEECOM";"LIBAU2010";"Statut";"CATAEU2010";"date1";"date2";"evolution";"type_commune_dans_au";"evolution_type_espace";"pres_abs_police"
"01004";"Lyon";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"01034";"Belley";"Sous-pr<e9>fecture";"211";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"01053";"Bourg-en-Bresse";"Pr<e9>fecture";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"01072";"Bourg-en-Bresse";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"01074";"Lyon";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"01108";"Bourg-en-Bresse";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"01109";"Genève (SUI) - Annemasse (partie française)";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"01138";"Culoz";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"01143";"Genève (SUI) - Annemasse (partie française)";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"01173";"Genève (SUI) - Annemasse (partie française)";"Sous-pr<e9>fecture";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"01185";"Plateau d'Hauteville";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"01202";"Lyon";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"01216";"Lyon";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"01235";"Lyon";"Commune simple";"112";"2009";"NA";"disparition";"couronne";"disparition couronne";"non"
"01244";"Lyon";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"01249";"Lyon";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"01262";"Lyon";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"01263";"Lyon";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
