"taille";"service";"regions";"nombre";"correlation_sp_pop_evo_90_09";"correlation_sp_pop_evo_99_09"
2,5;"bureaux de poste";"Grand Est";3243;-0,283571298400656;-0,357602489090469
2,5;"bureaux de poste";"Nouvelle Aquitaine";5815;0,04634077286434;-0,0808472683242968
2,5;"bureaux de poste";"Occitanie";4472;0,0649148008254106;0,0413078302242876
2,5;"bureaux de poste";"Auvergne-Rhône-Alpes";5112;-0,24506247226962;-0,283346577326299
2,5;"collèges et lycées publics";"Grand Est";2168;0,119881447241741;0,0572820593737686
2,5;"collèges et lycées publics";"Nouvelle Aquitaine";2933;0,285220828006748;0,350076911342524
2,5;"collèges et lycées publics";"Occitanie";2595;0,350220806653165;0,343420265096006
2,5;"collèges et lycées publics";"Auvergne-Rhône-Alpes";2762;0,0478943598062225;-0,137369402532628
2,5;"Établissements de santé";"Grand Est";972;0,0475511768856565;-0,00157559178634234
2,5;"Établissements de santé";"Nouvelle Aquitaine";1245;0,0601351229563297;-0,114669015406931
2,5;"Établissements de santé";"Occitanie";1350;-0,0471742189079576;-0,0972227215455343
2,5;"Établissements de santé";"Auvergne-Rhône-Alpes";1321;-0,552766466588007;-0,49085907880043
5;"bureaux de poste";"Grand Est";1178;-0,26103579928962;-0,339040313189068
2,5;"bureaux de poste";"Grand Est";3243;-0,283571298400656;-0,357602489090469
2,5;"bureaux de poste";"Nouvelle Aquitaine";5815;0,04634077286434;-0,0808472683242968
2,5;"bureaux de poste";"Occitanie";4472;0,0649148008254106;0,0413078302242876
2,5;"bureaux de poste";"Auvergne-Rhône-Alpes";5112;-0,24506247226962;-0,283346577326299
2,5;"collèges et lycées publics";"Grand Est";2168;0,119881447241741;0,0572820593737686
2,5;"collèges et lycées publics";"Nouvelle Aquitaine";2933;0,285220828006748;0,350076911342524
2,5;"collèges et lycées publics";"Occitanie";2595;0,350220806653165;0,343420265096006
2,5;"collèges et lycées publics";"Auvergne-Rhône-Alpes";2762;0,0478943598062225;-0,137369402532628
2,5;"Établissements de santé";"Grand Est";972;0,0475511768856565;-0,00157559178634234
2,5;"Établissements de santé";"Nouvelle Aquitaine";1245;0,0601351229563297;-0,114669015406931
2,5;"Établissements de santé";"Occitanie";1350;-0,0471742189079576;-0,0972227215455343
