"taille";"service";"regions";"nombre";"correlation_sp_pop_evo_75_09";"correlation_sp_pop_evo_90_09";"correlation_sp_pop_evo_99_09"
5;"bureaux de poste";"Grand Est";1178;-0,228929099679729;-0,26103579928962;-0,339040313189068
5;"bureaux de poste";"Nouvelle Aquitaine";1901;0,130038919654819;0,039174239284058;-0,0751274745150619
5;"bureaux de poste";"Occitanie";1494;0,155923005438416;0,106199565215999;0,0629985026054286
5;"bureaux de poste";"Auvergne-Rhône-Alpes";1685;-0,0504614395834436;-0,17230449370605;-0,188337698412756
5;"collèges et lycées publics";"Grand Est";846;0,180946206464546;0,220489135523692;0,185827745116312
5;"collèges et lycées publics";"Nouvelle Aquitaine";1118;0,190111503104747;0,123634522470087;0,134428114843239
5;"collèges et lycées publics";"Occitanie";968;0,299788391145055;0,332111083763301;0,294524006627959
5;"collèges et lycées publics";"Auvergne-Rhône-Alpes";1030;0,0463983397977693;0,169837451862341;0,15166534327991
10;"bureaux de poste";"Grand Est";444;-0,199372424505159;-0,23149371359504;-0,326453717058774
10;"bureaux de poste";"Nouvelle Aquitaine";676;0,214557103405608;0,153691810640523;0,0875462395658547
10;"bureaux de poste";"Occitanie";528;0,136459841479227;0,111407305990413;0,137668358077906
10;"bureaux de poste";"Auvergne-Rhône-Alpes";564;-0,001324848576519;-0,0741325679291937;-0,102939344015428
10;"collèges et lycées publics";"Grand Est";363;0,26599566660569;0,25887810912471;0,300077805548822
10;"collèges et lycées publics";"Nouvelle Aquitaine";461;-0,00887761426395039;0,201203015618596;0,1817828183185
10;"collèges et lycées publics";"Occitanie";408;0,259312742277526;0,316227836571131;0,283530744263278
10;"collèges et lycées publics";"Auvergne-Rhône-Alpes";421;0,00587573586604593;0,13919371137023;0,118687394161371
15;"bureaux de poste";"Grand Est";249;-0,149169168181737;-0,208854957889322;-0,343927274212458
15;"bureaux de poste";"Nouvelle Aquitaine";368;0,143312870049619;0,104896064185497;0,0860529385548942
15;"bureaux de poste";"Occitanie";284;0,0848302079823409;0,0928328550728794;0,138862470094633
15;"bureaux de poste";"Auvergne-Rhône-Alpes";301;0,108210111934162;0,0629970073973955;0,0368648844817119
15;"collèges et lycées publics";"Grand Est";221;0,240314955668006;0,348856602842868;0,315772381182399
15;"collèges et lycées publics";"Nouvelle Aquitaine";289;0,305783550260012;0,364706483010787;0,400535822104316
15;"collèges et lycées publics";"Occitanie";240;0,542724263140878;0,575819971487498;0,470620897284407
15;"collèges et lycées publics";"Auvergne-Rhône-Alpes";252;0,386423986438089;0,430045525034574;0,323016459995052
20;"bureaux de poste";"Grand Est";161;-0,12515175992413;-0,0349401521578938;-0,137325280726642
20;"bureaux de poste";"Nouvelle Aquitaine";240;0,0689948975257811;0,114835477597538;0,0618716847164905
20;"bureaux de poste";"Occitanie";194;0,111822083207323;0,129676611656955;0,155708928086982
20;"bureaux de poste";"Auvergne-Rhône-Alpes";191;-0,0414393275376163;-0,0399881829798154;-0,00774592754144095
20;"collèges et lycées publics";"Grand Est";153;0,542270117070977;0,627692144332729;0,601114824233187
20;"collèges et lycées publics";"Nouvelle Aquitaine";204;0,25747511067456;0,317232554403131;0,357455236281311
20;"collèges et lycées publics";"Occitanie";166;0,28932969337023;0,282720936517488;0,191178510910568
20;"collèges et lycées publics";"Auvergne-Rhône-Alpes";163;0,453173021950864;0,464877605707957;0,368264538588965
25;"bureaux de poste";"Grand Est";114;-0,0937171791386925;-0,105221200897667;-0,234561873572594
25;"bureaux de poste";"Nouvelle Aquitaine";166;0,153624499232415;0,144416857510954;0,0669365937600838
25;"bureaux de poste";"Occitanie";138;0,0878232413483278;0,0970034753555108;0,0803264179440435
25;"bureaux de poste";"Auvergne-Rhône-Alpes";131;-0,0391721660289801;-0,018892591375645;-0,044784701589684
25;"collèges et lycées publics";"Grand Est";112;0,563333172190819;0,564600197741705;0,525600776393617
25;"collèges et lycées publics";"Nouvelle Aquitaine";151;0,395613625194676;0,451610796464042;0,543667245289895
25;"collèges et lycées publics";"Occitanie";116;0,42338815602929;0,347731459772914;0,26918799075667
25;"collèges et lycées publics";"Auvergne-Rhône-Alpes";117;0,383962871962235;0,411297843694997;0,366430987895746
30;"bureaux de poste";"Grand Est";86;-0,216830301754408;-0,0333116778988744;-0,144517711979728
30;"bureaux de poste";"Nouvelle Aquitaine";126;-0,0154291651754134;0,0183387673211005;0,0105194295244483
30;"bureaux de poste";"Occitanie";103;0,26937289191866;0,260604667497214;0,220425343503576
30;"bureaux de poste";"Auvergne-Rhône-Alpes";99;0,180414514952832;0,0849729161051251;0,124359326501569
30;"collèges et lycées publics";"Grand Est";83;0,617219220982212;0,674370107457587;0,688069885133433
30;"collèges et lycées publics";"Nouvelle Aquitaine";116;0,390457898637341;0,372033144470051;0,313365829520551
