"taille";"service";"regions";"nombre";"correlation_sp_pop_evo_75_09";"correlation_sp_pop_evo_90_09";"correlation_sp_pop_evo_99_09"
2,5;"bureaux de poste";"Grand Est";3243;-0,247378301649659;-0,283571298400656;-0,357602489090469
2,5;"bureaux de poste";"Nouvelle Aquitaine";5815;0,136079209539492;0,04634077286434;-0,0808472683242968
2,5;"bureaux de poste";"Occitanie";4472;0,115718488489316;0,0649148008254106;0,0413078302242876
2,5;"bureaux de poste";"Auvergne-Rhône-Alpes";5112;-0,130296144972469;-0,24506247226962;-0,283346577326299
2,5;"collèges et lycées publics";"Grand Est";2168;0,0915441834363027;0,119881447241741;0,0572820593737686
2,5;"collèges et lycées publics";"Nouvelle Aquitaine";2933;0,0586791070819598;0,285220828006748;0,350076911342524
2,5;"collèges et lycées publics";"Occitanie";2595;0,263950432554213;0,350220806653165;0,343420265096006
2,5;"collèges et lycées publics";"Auvergne-Rhône-Alpes";2762;-0,0473117442310198;0,0478943598062225;-0,137369402532628
5;"bureaux de poste";"Grand Est";1178;-0,228929099679729;-0,26103579928962;-0,339040313189068
5;"bureaux de poste";"Nouvelle Aquitaine";1901;0,130038919654819;0,039174239284058;-0,0751274745150619
5;"bureaux de poste";"Occitanie";1494;0,155923005438416;0,106199565215999;0,0629985026054286
5;"bureaux de poste";"Auvergne-Rhône-Alpes";1685;-0,0504614395834436;-0,17230449370605;-0,188337698412756
5;"collèges et lycées publics";"Grand Est";846;0,180946206464546;0,220489135523692;0,185827745116312
5;"collèges et lycées publics";"Nouvelle Aquitaine";1118;0,190111503104747;0,123634522470087;0,134428114843239
5;"collèges et lycées publics";"Occitanie";968;0,299788391145055;0,332111083763301;0,294524006627959
5;"collèges et lycées publics";"Auvergne-Rhône-Alpes";1030;0,0463983397977693;0,169837451862341;0,15166534327991
7,5;"bureaux de poste";"Grand Est";656;-0,158381927179081;-0,176121299029255;-0,264032035279792
7,5;"bureaux de poste";"Nouvelle Aquitaine";1020;0,166013376764322;0,0924000001959716;-0,00388260988254943
7,5;"bureaux de poste";"Occitanie";804;0,155846590711532;0,130777224362008;0,125973746661622
7,5;"bureaux de poste";"Auvergne-Rhône-Alpes";892;-0,0214522982475116;-0,126617355486303;-0,140007120789082
7,5;"collèges et lycées publics";"Grand Est";513;0,0680498307238133;0,0804658052144261;0,0161195877647588
7,5;"collèges et lycées publics";"Nouvelle Aquitaine";653;0,136258274795484;0,321765005432375;0,344725376106353
7,5;"collèges et lycées publics";"Occitanie";575;0,523169261531698;0,615990511570299;0,518951280771707
7,5;"collèges et lycées publics";"Auvergne-Rhône-Alpes";624;-0,101360665393108;0,0297088387395793;-0,163378008885453
10;"bureaux de poste";"Grand Est";444;-0,199372424505159;-0,23149371359504;-0,326453717058774
10;"bureaux de poste";"Nouvelle Aquitaine";676;0,214557103405608;0,153691810640523;0,0875462395658547
10;"bureaux de poste";"Occitanie";528;0,136459841479227;0,111407305990413;0,137668358077906
10;"bureaux de poste";"Auvergne-Rhône-Alpes";564;-0,001324848576519;-0,0741325679291937;-0,102939344015428
10;"collèges et lycées publics";"Grand Est";363;0,26599566660569;0,25887810912471;0,300077805548822
10;"collèges et lycées publics";"Nouvelle Aquitaine";461;-0,00887761426395039;0,201203015618596;0,1817828183185
10;"collèges et lycées publics";"Occitanie";408;0,259312742277526;0,316227836571131;0,283530744263278
10;"collèges et lycées publics";"Auvergne-Rhône-Alpes";421;0,00587573586604593;0,13919371137023;0,118687394161371
