"AU2010","pop2016","pop2013","pop2009","pop2006","pop1999","pop1990","pop1982","pop1975","pop1968","LIBAU2010","tailles_2016","pop_2013_2016","pop_2009_2013","pop_2006_2009","pop_1999_2006"
"1",12569693,12381614,12137142,11931698,11331955,11006969,10372222,10137471,9488560,"Paris","grande
(> 200.000 hab.)",0.503797102932491,0.499802177624287,0.570681604431011,0.739462697890758
"2",2310315,2239090,2144667,2079689,1942765,1825204,1703699,1631309,1494249,"Lyon","grande
(> 200.000 hab.)",1.04927823488874,1.08295288368034,1.03080766786352,0.97769345724108
"3",1756296,1743207,1723128,1692459,1599900,1530281,1496734,1417446,1281884,"Marseille - Aix-en-Provence","grande
(> 200.000 hab.)",0.249661993936123,0.290051749110187,0.600420099558674,0.806684502249944
"4",1345343,1291197,1217935,1169620,1021123,894192,787147,736584,646757,"Toulouse","grande
(> 200.000 hab.)",1.37872812323416,1.47103713548602,1.3584066970064,1.95858936457602
"5",1187824,1175828,1154861,1152507,1131437,1099928,1071480,1058527,1005439,"Lille (partie française)","grande
(> 200.000 hab.)",0.338922432351718,0.450827931738917,0.0680371610594532,0.263934314737546
"6",1232550,1178105,1114632,1085895,1000380,937755,858565,804815,751187,"Bordeaux","grande
(> 200.000 hab.)",1.51732892300322,1.39420234480527,0.874460388506337,1.17867229304425
"7",1006402,1004826,1000275,995968,936288,894160,809262,745845,650179,"Nice","grande
(> 200.000 hab.)",0.0522537158420988,0.11355016941319,0.143940582559332,0.886650623928809
"8",961521,919454,871828,850377,784992,714805,665298,621104,562346,"Nantes","grande
(> 200.000 hab.)",1.50238705697208,1.33857624935187,0.833870028129136,1.14950307350505
"9",785839,773275,759686,749585,715867,662679,630601,604825,562206,"Strasbourg (partie française)","grande
(> 200.000 hab.)",0.538685545295459,0.444222558613605,0.44717920746844,0.659670943206714
"10",687985,682888,664927,658102,630251,592841,558317,532243,466856,"Grenoble","grande
(> 200.000 hab.)",0.248179846799701,0.668565072295069,0.344502908061894,0.619651686432832
"11",726194,698719,661430,635970,575964,516017,474677,434268,387535,"Rennes","grande
(> 200.000 hab.)",1.2939175367261,1.38055537316135,1.31702285677353,1.42587330115727
