"tailles_2016";"typologie";"2013";"2018";"2013-2018"
"grande
(> 200.000 hab.)";"bureau de poste";4218;3724;-2,46047880533904
"grande
(> 200.000 hab.)";"direction des finances publiques";2549;2406;-1,14806896584579
"grande
(> 200.000 hab.)";"équipements juridictionnels
d'ordre judiciaire";346;350;0,230152032634057
"grande
(> 200.000 hab.)";"établissement public d'éducation secondaire";4012;4007;-0,0249376589624206
"grande
(> 200.000 hab.)";"établissement public d'éducation supérieure
(filières de formation dans
des établissements exclusivement publics)";1231;1179;-0,859489599570429
"grande
(> 200.000 hab.)";"établissement public d'éducation supérieure
(filières de formation dans
des établissements publics ou privés)";655;665;0,303495718955582
"grande
(> 200.000 hab.)";"établissement public ou privé de santé";1304;1223;-1,2744019758952
"grande
(> 200.000 hab.)";"police et gendarmerie nationales";1299;1240;-0,925359116770219
"grande
(> 200.000 hab.)";"service de l'emploi avec
conseiller spécialisé";603;525;-2,73235562913628
"grande
(> 200.000 hab.)";"service de l'emploi sans
conseiller spécialisé";513;227;-15,04641738483
"grande
(> 200.000 hab.)";"service postal de remplacement
des bureaux de poste";1533;2157;7,06847033624722
"moyenne";"bureau de poste";1731;1481;-3,07147630032497
"moyenne";"direction des finances publiques";1326;1285;-0,626194646245815
"moyenne";"équipements juridictionnels
d'ordre judiciaire";381;389;0,416464181651732
"moyenne";"établissement public d'éducation secondaire";1486;1452;-0,461850771911176
"moyenne";"établissement public d'éducation supérieure
(filières de formation dans
des établissements exclusivement publics)";347;340;-0,40675375355903
"moyenne";"établissement public d'éducation supérieure
(filières de formation dans
des établissements publics ou privés)";194;199;0,510230578614723
"moyenne";"établissement public ou privé de santé";684;643;-1,22865351955624
"moyenne";"police et gendarmerie nationales";612;590;-0,729520895621671
"moyenne";"service de l'emploi avec
conseiller spécialisé";258;233;-2,01778724304935
"moyenne";"service de l'emploi sans
conseiller spécialisé";182;112;-9,25361634386701
"moyenne";"service postal de remplacement
des bureaux de poste";1246;1578;4,8377740549395
"petite
(< 30.000 hab.)";"bureau de poste";904;805;-2,2930425016095
"petite
(< 30.000 hab.)";"direction des finances publiques";940;868;-1,58113000967955
"petite
(< 30.000 hab.)";"équipements juridictionnels
d'ordre judiciaire";77;80;0,767353437656504
"petite
(< 30.000 hab.)";"établissement public d'éducation secondaire";1150;1119;-0,545039501330824
"petite
(< 30.000 hab.)";"établissement public d'éducation supérieure
(filières de formation dans
des établissements exclusivement publics)";28;26;-1,47122952622987
"petite
(< 30.000 hab.)";"établissement public d'éducation supérieure
(filières de formation dans
des établissements publics ou privés)";104;106;0,38169048926584
"petite
(< 30.000 hab.)";"établissement public ou privé de santé";584;572;-0,41437890044238
"petite
(< 30.000 hab.)";"police et gendarmerie nationales";623;616;-0,225735937435712
"petite
(< 30.000 hab.)";"service de l'emploi avec
conseiller spécialisé";244;253;0,727055576237245
"petite
(< 30.000 hab.)";"service de l'emploi sans
conseiller spécialisé";197;148;-5,55932165619794
"petite
(< 30.000 hab.)";"service postal de remplacement
des bureaux de poste";477;642;6,12148773630283
