"LIBAU2010","pop2016","pop1999","tailles_2016","tailles_1999"
"Annecy",236407,191904,"grande
(> 200.000 hab.)","moyenne"
"Chambéry",224811,191464,"grande
(> 200.000 hab.)","moyenne"
"Saint-Nazaire",220925,190801,"grande
(> 200.000 hab.)","moyenne"
"La Rochelle",215503,182307,"grande
(> 200.000 hab.)","moyenne"
"Pamiers",35566,28376,"moyenne","petite
(< 30.000 hab.)"
"Dinard",32768,28866,"moyenne","petite
(< 30.000 hab.)"
"Tournon-sur-Rhône",32548,28659,"moyenne","petite
(< 30.000 hab.)"
"Sablé-sur-Sarthe",30707,28261,"moyenne","petite
(< 30.000 hab.)"
"Pontarlier",31305,28630,"moyenne","petite
(< 30.000 hab.)"
"Saint-Gaudens",30302,27059,"moyenne","petite
(< 30.000 hab.)"
"Guebwiller",30218,29730,"moyenne","petite
(< 30.000 hab.)"
"Beaucaire",30902,26416,"moyenne","petite
(< 30.000 hab.)"
"Pont-Audemer",31054,23447,"moyenne","petite
(< 30.000 hab.)"
