"rowid";"annee";"typologie";"nombre_total";"pourc_par_an"
1;"2009";"police et gendarmerie nationales";2670;11,3752556237219
1;"2009";"équipements juridictionnels
d'ordre judiciaire";977;4,16240627130198
1;"2009";"établissement public ou privé de santé";2870;12,2273346966599
1;"2009";"bureau de poste";7718;32,8817314246762
1;"2009";"établissement public d'éducation secondaire";6702;28,5531697341513
1;"2009";"établissement public d'éducation supérieure
(filières de formation dans
des établissements exclusivement publics)";1677;7,14468302658487
1;"2009";"établissement public d'éducation supérieure
(filières de formation dans
des établissements publics ou privés)";858;3,65541922290389
1;"2013";"police et gendarmerie nationales";2534;11,5339098771051
1;"2013";"équipements juridictionnels
d'ordre judiciaire";804;3,65953573054165
1;"2013";"établissement public ou privé de santé";2572;11,7068730086482
1;"2013";"bureau de poste";6853;31,1925352753755
1;"2013";"établissement public d'éducation secondaire";6648;30,2594446973145
1;"2013";"établissement public d'éducation supérieure
(filières de formation dans
des établissements exclusivement publics)";1606;7,30996813837051
1;"2013";"établissement public d'éducation supérieure
(filières de formation dans
des établissements publics ou privés)";953;4,33773327264452
1;"2018";"police et gendarmerie nationales";2446;11,7562241661059
1;"2018";"équipements juridictionnels
d'ordre judiciaire";819;3,93636451023743
1;"2018";"établissement public ou privé de santé";2438;11,7177737191195
1;"2018";"bureau de poste";6010;28,8858982985677
1;"2018";"établissement public d'éducation secondaire";6578;31,6158800346054
1;"2018";"établissement public d'éducation supérieure
(filières de formation dans
des établissements exclusivement publics)";1545;7,42574257425743
1;"2018";"établissement public d'éducation supérieure
(filières de formation dans
des établissements publics ou privés)";970;4,6621166971066
